Unique_ID,Year,Make,Model,Price,ConsumerRating,SellerRating,MinMPG,MaxMPG,Mileage,Sales
1042,2022,Honda,Pilot EX-L,41535,5,4.4,20,27,15118,16
1043,2019,Chevrolet,Impala Premier 2LZ,26998,4.7,4.7,19,28,49372,11
1044,2013,INFINITI,G37 x,17300,4.7,4.7,18,25,66560,33
1045,2017,Honda,Civic EX,22004,4.8,4.2,31,40,35257,30
1046,2017,Tesla,Model S 75,47000,4.6,4.2,0,0,84000,39
1047,2021,Honda,Pilot Special Edition,43296,4.8,4.8,19,26,10563,37
1048,2015,Jeep,Grand Cherokee SRT,52884,4.8,4.9,13,19,49870,33
1049,2011,Ford,Explorer Limited,12290,4.3,4.2,17,25,117401,29
1050,2017,BMW,M240 i,33900,4.7,4.3,21,32,60733,19
1051,2020,Volvo,XC60 T5 Inscription,41389,4.9,4,22,29,36577,24
1052,2018,Honda,Civic EX,23739,4.8,4.8,31,40,32333,33
1053,2020,BMW,X1 xDrive28i,32893,4.8,4.6,23,31,39879,12
1054,2020,BMW,X1 xDrive28i,30693,4.8,4.6,23,31,50199,38
1055,2019,Acura,ILX Premium & A-SPEC Packages,23995,4.7,3.7,24,34,14940,40
1056,2021,Chrysler,300 S,30000,5,4.8,19,30,19229,21
1057,2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,53000,4.8,3.6,17,23,55000,34
1058,2019,BMW,Z4 sDrive30i,46500,5,4.5,25,32,23504,20
1059,2019,Honda,Civic Sport,50000,4.9,3.6,30,36,30509,27
1060,2016,Land,Rover Range Rover,51000,4.8,4.6,14,19,54449,40
1061,2011,Ford,F-150 Lariat,18973,4.5,4.5,14,19,110111,25
1062,2018,Mazda,CX-5 Grand Touring,25549,4.8,3.3,25,31,66601,19
1063,2018,Kia,Sportage LX,18500,4.8,3.9,23,30,79336,11
1064,2017,Volkswagen,Tiguan Sport,20000,4.8,4.7,20,24,87957,18
1065,2017,Chrysler,300 S,33558,4.7,4.9,19,30,27054,33
1066,2020,Tesla,Model X Performance,122222,4.2,4.9,80,77,29918,25
1067,2019,Subaru,Impreza 2.0i Premium,4750,4.6,3.5,28,36,67792,33
1068,2019,Jeep,Cherokee Latitude Plus,27500,4.6,4.7,21,29,21870,23
1069,2019,Jeep,Cherokee Latitude Plus,21795,4.6,4,22,31,74832,32
1070,2018,BMW,320 i xDrive,25950,4.9,4.9,23,34,55001,11
1071,2016,Porsche,Cayenne Base,44998,4.8,5,19,24,37979,26
1072,2016,Nissan,Rogue SV,19949,4.5,4.7,25,32,60122,40
1073,2014,Mercedes-Benz,E-Class E 350 4MATIC,14500,4.8,4.4,21,30,92378,38
1074,2012,BMW,X5 xDrive35i Premium,12499,4.5,3.7,16,23,75012,14
1075,2020,Hyundai,Santa Fe SEL 2.4,30187,4.8,4.7,21,27,42185,22
1076,2020,Hyundai,Santa Fe SEL 2.4,28959,4.8,4.1,21,27,27088,38
1077,2019,Mercedes-Benz,AMG E 63 S 4MATIC,106999,5,4.7,15,23,15113,27
1078,2019,Mercedes-Benz,S-Class S 560 4MATIC,71458,4.6,4.9,17,27,18022,27
1079,2020,Hyundai,Santa Fe SEL 2.4,30716,4.8,4.9,21,27,26693,34
1080,2020,Hyundai,Elantra SE,17995,4.8,4.4,30,40,21368,14
1081,2020,BMW,X3 M40i,49995,4.9,4.7,21,27,11970,18
1082,2019,Volkswagen,Golf R 2.0T w/DCC & Navigation,40500,4.8,4.3,23,30,32143,31
1083,2018,Land,Rover Range Rover HSE,52874,3.8,3.7,17,23,84844,30
1084,2019,Mercedes-Benz,S-Class S 560 4MATIC,62995,4.6,4.6,17,27,35652,29
1085,2018,BMW,430 Gran Coupe i xDrive,26975,4.9,3.1,23,33,39474,13
1086,2018,BMW,430 Gran Coupe i xDrive,25975,4.9,3.1,23,33,42899,22
1087,2019,Mercedes-Benz,GLS 450 4MATIC,56287,5,4.6,16,22,33427,20
1088,2018,BMW,430 Gran Coupe i xDrive,29995,4.9,4.8,23,33,45266,29
1089,2011,Lexus,LS 460 Base,17899,5,3.7,16,23,130602,20
1090,2016,GMC,Yukon Denali,38999,4.3,3.4,15,21,36347,13
1091,2020,Mercedes-Benz,GLB 250 Base,42492,4.1,3.2,23,30,11140,10
1092,2021,Toyota,Camry SE,31998,4.8,5,28,39,27521,18
1093,2018,Ford,Edge Sport,33998,4.8,4.7,17,24,23046,15
1094,2019,Subaru,Crosstrek 2.0i Premium,28998,4.7,3.3,27,33,27911,34
1095,2020,Dodge,Charger Scat Pack,49995,4.8,4.3,15,24,24858,23
1096,2020,Dodge,Charger Scat Pack,40600,4.8,4.5,15,24,21863,21
1097,2021,Subaru,Crosstrek Premium,26000,4.8,4.2,28,33,7572,14
1098,2018,Subaru,Crosstrek 2.0i Premium,29998,4.8,2.2,27,33,8832,37
1099,2018,Subaru,Crosstrek 2.0i Premium,27998,4.8,4.7,27,33,70778,38
1100,2021,Toyota,4Runner Limited,51931,4.9,4.9,16,19,20606,28
1101,2016,Ford,F-150,25988,4.6,4.7,15,22,135228,16
1102,2019,Audi,Q5 2.0T Premium,35700,4.7,4.7,22,27,36644,24
1103,2019,Audi,Q5 2.0T Premium,38884,4.7,3.8,22,27,21349,29
1104,2012,Audi,A5 2.0T Premium,14499,4.7,3.9,21,29,116693,39
1105,2015,Lexus,RC F Base,51950,4.9,5,16,25,29597,32
1106,2021,Dodge,Challenger R/T,33995,4.9,3.2,15,23,18752,15
1107,2016,Mazda,CX-5 Grand Touring,18950,4.7,3.8,24,30,57000,14
1108,2015,Honda,Accord EX-L,21998,4.7,3.2,21,34,92614,20
1109,2017,Chevrolet,Camaro 2SS,29995,4.8,3.8,16,25,78378,23
1110,2017,Nissan,Rogue S,16985,4.7,4.9,25,32,47061,11
1111,2019,Toyota,Highlander SE,39368,4.6,1,21,27,27027,21
1112,2019,Chevrolet,Cruze LS,21998,4.8,4.9,28,38,29865,36
1113,2018,Chevrolet,Traverse Premier,36525,4.7,4.8,18,27,56722,39
1114,2020,Nissan,Murano SV,27289,4.9,2,20,28,41010,33
1115,2019,BMW,540 i xDrive,47805,4.9,4.4,21,29,26042,29
1116,2021,Volkswagen,Atlas 3.6L SEL Premium,49500,4.8,4.7,16,22,10640,36
1117,2015,Chevrolet,Tahoe LTZ,28850,4.5,4.4,16,22,139597,26
1118,2020,Honda,Civic Sport,19800,4.9,4.3,29,37,20164,28
1119,2018,Nissan,Rogue SL,26884,4.7,3.4,25,32,53043,32
1120,2021,Honda,Pilot Special Edition,43171,4.8,4.5,19,26,22250,30
1121,2017,Hyundai,Tucson SE,18550,4.7,4.5,21,26,93960,35
1122,2021,Honda,Pilot Special Edition,42950,4.8,3.4,19,26,15002,38
1123,2019,Buick,Enclave Essence,34856,4.6,4.7,18,26,26135,35
1124,2019,Buick,Enclave Essence,34888,4.6,4.6,18,26,17542,35
1125,2015,Jeep,Wrangler Unlimited Sport,26455,4.6,4.7,16,21,113580,10
1126,2020,Buick,Enclave Essence,36500,4.8,4.9,18,26,29500,35
1127,2018,BMW,X5 M Base,70996,4.8,4.6,14,19,33757,27
1128,2021,Genesis,GV80 2.5T,55841,4.8,3.9,21,25,26663,28
1129,2021,Chevrolet,Tahoe Z71,70490,4.5,4.4,16,20,24054,29
1130,2021,Genesis,GV80 2.5T,68988,4.8,4.9,21,25,11049,28
1131,2017,Acura,MDX 3.5L w/Advance Package,24950,4.6,3.4,19,26,63014,27
1132,2007,Toyota,RAV4 Sport,8500,4.3,4.6,21,28,141372,15
1133,2015,Chevrolet,Suburban 1500 LT,33895,4.6,4.5,15,22,79436,40
1134,2016,Ford,F-150 XLT,34997,4.6,4.9,17,23,23349,23
1135,2020,Acura,MDX 3.5L w/Technology Package,45996,4.9,4.6,20,27,15150,13
1136,2019,Toyota,Tundra SR5,39989,4.8,4.7,13,17,30136,17
1137,2021,Cadillac,Escalade Sport,107998,2.9,3.7,14,19,28000,25
1138,2020,Chrysler,300 S,34000,4.8,4.4,19,30,47552,35
1139,2021,Chrysler,300 S,28500,5,4.8,19,30,26893,23
1140,2018,Honda,Civic LX,20000,4.8,4.8,30,39,42836,28
1141,2013,Mercedes-Benz,SL-Class SL 550,39785,4.6,4.7,17,25,45281,40
1142,2020,INFINITI,QX60 Pure,31599,4.8,4.9,20,27,48522,31
1143,2019,BMW,X5 xDrive40i,58992,4.7,4.9,20,26,17509,33
1144,2020,INFINITI,QX60 Pure,29449,4.8,4.8,20,27,49926,37
1145,2012,Kia,Sorento SX,4995,4.4,4,18,24,213000,22
1146,2019,Honda,Civic Sport,24995,4.9,4.8,25,36,49051,15
1147,2003,Ford,Taurus SES,4388,4.2,4.4,20,27,83368,22
1148,2020,Lexus,RX 350 Base,47988,4.8,4.6,19,26,10913,36
1149,2020,Kia,Sorento LX,28933,4.7,4.7,22,29,21055,25
1150,2019,Toyota,Tundra SR5,39997,4.8,4.7,14,18,36236,39
1151,2010,Lexus,LS 460 Base,19990,4.7,4.8,16,24,97315,34
1152,2019,Chevrolet,Silverado 1500 Custom,30490,4.3,4.8,16,21,44844,24
1153,2015,BMW,328 i,15899,4.7,3.4,23,35,48478,17
1154,2021,Porsche,Macan GTS,84888,4.9,4.8,17,22,7484,26
1155,2021,Land,Rover Range Rover Sport HSE Silver Edition,86995,4.8,4.7,19,24,14829,29
1156,2018,BMW,320 320i xDrive,22950,4.9,5,23,34,31948,19
1157,2002,BMW,540 i,22900,4.6,5,15,23,81467,12
1158,2016,Porsche,Cayenne Base,28900,4.8,4.4,19,24,53065,32
1159,2019,Mazda,Mazda3 AWD w/Preferred Package,16499,4.8,3.7,25,33,15875,33
1160,2018,BMW,320 i xDrive,24985,4.9,2,23,34,65946,23
1161,2019,Genesis,G80 3.8,38000,4.7,4.7,18,24,20870,11
1162,2020,Hyundai,Santa Fe SEL 2.4,28459,4.8,4.1,21,27,28466,31
1163,2020,Hyundai,Santa Fe SEL 2.4,31991,4.8,4.8,21,27,13924,22
1164,2020,Tesla,Model Y Long Range,65995,3.7,3.4,127,114,9561,35
1165,2019,Mercedes-Benz,S-Class S 560 4MATIC,71242,4.6,4.9,17,27,25046,38
1166,2013,Toyota,Highlander Base Plus,20700,4.7,4.7,17,22,60419,16
1167,2019,Jeep,Grand Cherokee Altitude,33750,4.8,3,18,25,25815,19
1168,2020,Acura,MDX 3.5L,39412,4.9,4,19,26,12374,22
1169,2017,BMW,M3 Base,55863,4.7,3.4,17,26,19847,34
1170,2020,Toyota,Tacoma SR,33888,4.7,4.4,18,22,18675,36
1171,2020,Acura,MDX 3.5L w/Technology Package,39900,4.9,5,19,26,12304,14
1172,2021,Tesla,Model Y Long Range,71277,4,4.8,131,117,23698,17
1173,2013,Porsche,Boxster S,57900,4.7,4.8,20,28,97978,12
1174,2010,Mazda,Mazda6 s Grand Touring,9899,4.6,4.1,17,25,46525,34
1175,2018,Toyota,4Runner Limited,39919,4.8,4.7,17,20,30403,13
1176,2019,Subaru,Forester,26200,4.7,4.8,26,33,45313,15
1177,2018,Cadillac,XT5 Premium Luxury,33682,4.8,4.7,19,26,12332,38
1178,2020,Tesla,Model Y Long Range,73992,3.7,4.6,127,114,34565,20
1179,2019,BMW,X3 sDrive30i,35400,4.7,4.4,23,30,57583,10
1180,2019,BMW,X3 sDrive30i,31995,4.7,3.7,23,30,151989,37
1181,2012,Toyota,4Runner Limited,24999,4.7,4.7,17,22,12123,13
1182,2018,Honda,Civic EX-T,26955,4.8,4.4,31,40,14950,28
1183,2019,BMW,X5 xDrive40i,54998,4.7,4.7,20,26,10514,17
1184,2020,Toyota,Corolla SE,18500,4.7,4.4,31,40,39866,14
1185,2018,Toyota,4Runner Limited,42727,4.8,4.6,17,20,59742,38
1186,2020,Ford,Expedition Max Limited,49499,4.5,4.7,17,23,3756,28
1187,2022,Honda,Pilot Elite,41300,5,4.2,19,26,4084,16
1188,2022,Honda,Pilot Elite,40000,5,4.2,19,26,154866,35
1189,2014,Subaru,Forester 2.5i,8800,4.4,4.3,24,32,13925,23
1190,2021,Subaru,Forester Sport,29700,4.9,4.6,26,33,60802,35
1191,2020,Ford,Edge Titanium,34997,4.9,3.9,21,28,12090,18
1192,2020,Subaru,Ascent Touring 7-Passenger,42505,4.8,4.5,20,26,26589,13
1193,2019,Chevrolet,Silverado 1500 RST,47988,4.3,5,19,22,11559,24
1194,2020,Lexus,RX 450hL Base,56500,5,4.3,29,28,14634,40
1195,2021,Subaru,Forester Premium,28400,4.9,4.5,26,33,34148,10
1196,2019,Volvo,XC60 T5 Inscription,40968,4.9,4.7,22,29,32356,29
1197,2019,Volvo,XC60 T5 Momentum,43968,4.9,4.7,22,29,15038,16
1198,2019,Volvo,XC40 T5 R-Design,42962,4.8,4.7,23,31,31831,21
1199,2020,BMW,X5 sDrive40i,55901,4.7,4.7,21,26,30322,12
1200,2019,Mazda,CX-5 Grand Touring,29895,4.8,4,25,31,34021,23
1201,2019,Toyota,4Runner Limited,46991,4.8,4.9,17,20,33296,29
1202,2019,BMW,M850 i xDrive,77480,5,4.3,18,25,32600,21
1203,2020,Dodge,Challenger SXT,30595,4.9,4.3,19,30,32770,27
1204,2021,Tesla,Model 3 Performance,65786,3,4.5,118,107,20396,33
1205,2018,Hyundai,Santa Fe Limited Ultimate,24750,4.7,4.6,17,22,19615,20
1206,2020,Dodge,Challenger SXT,32290,4.9,4.7,19,30,39669,17
1207,2019,Ford,F-150 XLT,42995,4.8,4.7,18,23,30340,15
1208,2019,BMW,330 i xDrive,39521,4.9,4.8,25,34,50116,22
1209,2019,Honda,CR-V EX,28693,4.8,3.7,28,34,30260,22
1210,2016,Toyota,4Runner Trail Premium,36995,4.7,4.5,17,21,40060,17
1211,2020,Acura,MDX 3.5L w/Technology Package,41499,4.9,4.4,20,27,204440,13
1212,2017,Subaru,Impreza 2.0i,16823,4.8,4.5,28,38,77792,24
1213,2004,Toyota,Highlander Base,5995,4.5,4.9,23,23,36188,18
1214,2003,Lexus,RX 300,9995,4.8,4.6,18,22,37750,40
1215,2019,Honda,CR-V EX-L,34499,4.8,4.9,27,33,55545,40
1216,2019,Toyota,4Runner SR5,37998,4.8,2.9,17,21,27289,18
1217,2019,Chevrolet,Impala Premier 2LZ,26256,4.7,4.7,19,28,89247,11
1218,2019,BMW,X7 xDrive50i,81749,4.1,4.4,15,21,75290,24
1219,2008,Mercedes-Benz,S-Class S 550 4MATIC,15800,4.8,3.6,14,20,17123,35
1220,2018,Nissan,Rogue SL,21690,4.7,4.4,25,32,37033,16
1221,2021,Volkswagen,Atlas 3.6L SEL Premium,47990,4.8,4.1,16,22,16854,25
1222,2020,Acura,TLX FWD,31290,4.9,4.8,23,33,17590,33
1223,2019,Toyota,4Runner Limited,46079,4.8,4.7,17,20,75592,39
1224,2018,Toyota,RAV4 XLE,28998,4.8,3.3,23,30,31179,39
1225,2019,Honda,Accord EX-L 1.5T,20900,4.7,4.3,30,38,19377,22
1226,2020,Mercedes-Benz,GLE 350 Base 4MATIC,53967,4.3,4.2,19,26,33855,15
1227,2019,BMW,330 i,39597,4.9,2.1,26,36,12051,19
1228,2019,BMW,X3 M40i,47997,4.7,2.1,20,27,13109,39
1229,2021,Audi,Q3 45 S line Premium,44561,5,4.6,20,28,19782,40
1230,2021,Audi,Q3 45 S line Premium,44591,5,4.6,20,28,10500,12
1231,2019,Mercedes-Benz,GLC 300 Base 4MATIC,40565,4.6,4.8,22,27,6914,15
1232,2021,BMW,X5 PHEV xDrive45e,71000,4.6,4.8,0,0,49950,34
1233,2021,Genesis,GV80 2.5T,52541,4.8,3.9,21,25,36790,29
1234,2018,Audi,S5 3.0T Prestige,44850,4.7,3.9,21,30,10662,38
1235,2019,Honda,Pilot EX-L,36498,4.8,4.7,19,27,14035,28
1236,2019,Mercedes-Benz,GLC 300 Base 4MATIC,37500,4.6,4.7,22,27,11326,18
1237,2020,Chevrolet,Spark LS,13989,4.7,4.6,30,38,43148,23
1238,2019,Hyundai,Elantra SE,21998,4.7,2.5,29,38,89990,21
1239,2019,Hyundai,Elantra SE,18997,4.7,4.9,29,38,59725,18
1240,2015,Chevrolet,Suburban 1500 LT,32495,4.6,4.5,15,22,11510,34
1241,2012,Mercedes-Benz,S-Class S 550 4MATIC,25695,4.8,4.5,15,24,87091,37
1242,2020,Nissan,Frontier PRO-4X,38700,4.6,4.1,17,23,32858,38
1243,2018,Honda,Accord EX-L 1.5T,18985,4.8,4,30,38,23639,14
1244,2019,Jeep,Grand Cherokee Limited,35500,4.8,4.7,18,25,94876,34
1245,2019,Mazda,CX-5 Grand Touring,27491,4.8,4.6,25,31,73178,12
1246,2010,BMW,128 128i,8999,4.7,4.1,18,28,141281,15
1247,2016,Land,Rover Range Rover,49989,4.8,4.6,14,19,90908,12
1248,2011,Ford,F-150 Lariat,19995,4.5,3.8,0,0,17212,10
1249,2004,Lexus,LS 430 Base (A6),14290,4.8,4.7,18,25,21603,36
1250,2020,Lexus,RX 350 Base,47455,4.8,4.7,19,26,35332,37
1251,2016,Audi,A7 3.0T Prestige,47940,4.7,4.7,20,30,72278,29
1252,2020,Mazda,Mazda6 Sport,30916,4.9,4.9,23,31,22855,27
1253,2016,Hyundai,Sonata Hybrid SE,18375,4.8,4.5,40,44,30820,19
1254,2017,Alfa,Romeo Giulia Ti,29900,4.7,4.5,23,31,54898,23
1255,2019,Mercedes-Benz,CLA 250 Base,30495,4.1,4.6,24,37,71815,10
1256,2017,Toyota,Corolla LE,13899,4.7,3.4,28,36,74430,18
1257,2016,Acura,MDX 3.5L w/Technology Package,19900,4.6,4,19,27,29879,11
1258,2016,Nissan,Rogue SV,19998,4.5,4.9,25,32,90958,16
1259,2019,Honda,Civic LX,23845,4.9,4.7,0,38,14494,25
1260,2008,Lexus,RX 350 Base (A5),11995,4.6,3.8,17,22,18031,38
1261,2019,Honda,Odyssey EX-L,38310,4.6,4.8,19,28,29085,36
1262,2019,BMW,X5 xDrive40i,56998,4.7,4.9,20,26,96442,38
1263,2020,Acura,ILX Premium & A-SPEC Packages,30885,4.5,4.8,24,34,38336,13
1264,2006,Toyota,Highlander Limited w/3rd Row,11995,4.7,4.7,18,24,12679,33
1265,2019,BMW,M550 i Xdrive,44718,4.5,2.8,18,25,10460,12
1266,2019,Subaru,Forester,27977,4.7,4.8,26,33,6626,32
1267,2019,Subaru,Forester,23990,4.7,4.4,26,33,28601,15
1268,2020,BMW,M4 Base,72735,4.9,4.6,18,25,10932,32
1269,2019,Volkswagen,Tiguan 2.0T SE,26496,4.5,2.5,21,29,11843,10
1270,2021,Cadillac,XT6 Premium Luxury AWD,59998,4.9,4.8,18,25,21868,11
1271,2020,Chevrolet,Blazer Premier,48998,4.7,4.8,19,26,41198,11
1272,2019,Honda,CR-V EX-L,29875,4.8,4.8,28,34,35825,20
1273,2012,Porsche,911 Targa 4,72998,4.8,4.8,18,25,102893,18
1274,2019,Mercedes-Benz,C-Class C 300,33185,4.8,2.5,23,34,64403,35
1275,2015,Mercedes-Benz,E-Class E 400,20955,4.8,4.4,20,29,16929,12
1276,2018,Audi,A3 2.0T Prestige,31492,4.9,4,24,31,47445,15
1277,2017,Jeep,Grand Cherokee Limited,27575,4.8,4.3,19,26,37852,17
1278,2018,Subaru,Outback 2.5i Limited,29499,4.7,4.7,25,32,56557,35
1279,2018,Mazda,CX-5 Grand Touring,27499,4.8,4.4,25,31,10422,24
1280,2015,Porsche,Cayenne S,34999,4.9,2.3,17,24,124282,30
1281,2020,BMW,X5 xDrive40i,62787,4.7,4.8,20,26,33148,16
1282,2012,Lexus,RX 350 Base,18699,4.8,4.6,18,24,39535,25
1283,2017,Buick,LaCrosse Premium,28994,4.8,3.5,21,31,32702,21
1284,2017,Cadillac,XT5 Luxury,33029,4.6,4.4,19,27,12708,28
1285,2018,BMW,X3 xDrive30i,37962,4.8,4.5,22,29,19527,29
1286,2021,Tesla,Model Y Performance,74799,4,4.7,115,106,33921,31
1287,2019,INFINITI,QX50 ESSENTIAL,35799,4.7,4.7,24,31,34283,12
1288,2019,Volvo,XC60 T5 Momentum,41967,4.9,4.7,20,27,28251,13
1289,2020,Dodge,Challenger SXT,28619,4.9,4.8,19,30,11945,16
1290,2019,Audi,Q5 2.0T Premium,35739,4.7,4.8,22,27,14606,15
1291,2021,Mazda,Mazda3 FWD w/Preferred Package,27981,4.9,4.7,26,35,38337,29
1292,2021,Kia,Forte FE,16999,4.8,4.1,31,41,39336,35
1293,2019,Audi,Q5 2.0T Premium,35480,4.7,4.3,22,27,13053,35
1294,2018,Nissan,Murano SL,29401,4.8,4.3,21,28,43485,14
1295,2016,Chevrolet,Corvette Stingray Z51,49999,4.8,3.2,17,29,31039,29
1296,2018,Lincoln,MKZ Select,22995,4.9,5,21,31,19426,14
1297,2019,Volvo,XC60 T5 Momentum,38348,4.9,4.9,20,27,39186,39
1298,2019,Honda,CR-V EX-L,33997,4.8,2.9,27,33,10926,20
1299,2019,BMW,330 i xDrive,40000,4.9,4.6,25,34,33995,24
1300,2021,Tesla,Model Y Long Range,74900,4,4.5,131,117,36343,18
1301,2019,Jeep,Grand Cherokee Limited,34991,4.8,4.5,19,26,16581,16
1302,2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,67399,5,4.5,17,22,46542,10
1303,2021,Ford,F-150 Lariat,66000,4.8,4.8,19,24,65076,22
1304,2019,Volkswagen,Arteon 2.0T SEL Premium R-Line,32500,4.7,4.8,20,27,32033,34
1305,2017,Honda,Accord LX,17352,4.8,4.7,27,36,36089,14
1306,2021,Dodge,Charger SXT,32299,4.9,2.5,19,30,38383,20
1307,2019,Mercedes-Benz,AMG C 43 Base 4MATIC,54335,4.9,4.6,19,27,21316,35
1308,2019,Honda,Pilot EX-L,34995,4.8,4.4,19,27,18576,11
1309,2019,Acura,RDX Base,36605,4.3,4.9,21,27,14222,16
1310,2019,Acura,RDX Base,37331,4.3,4.8,21,27,54163,13
1311,2021,Audi,Q5 45 Premium,52308,4.6,4.7,23,28,21460,34
1312,2018,Nissan,Rogue SL,22177,4.7,4.5,25,32,34337,23
1313,2020,Acura,MDX 3.5L Technology & A-Spec Pkgs,46988,4.9,4.7,19,25,56044,28
1314,2021,Volkswagen,Atlas 3.6L SEL Premium,47044,4.8,4.1,16,22,17288,34
1315,2016,Volvo,XC90 T6 Momentum,35998,4.5,3.3,20,25,27017,24
1316,2020,Honda,Civic Sport,29628,4.9,4.7,29,35,6398,24
1317,2019,INFINITI,QX80 Luxe,52506,4.8,4.8,14,20,13112,32
1318,2021,Honda,Pilot Special Edition,43704,4.8,3.9,19,26,99697,25
1319,2018,Honda,Accord LX,29275,4.8,4.7,30,38,30425,39
1320,2015,Acura,MDX 3.5L,23999,4.7,4.7,18,27,48203,21
1321,2019,Audi,Q8 3.0T Premium,62995,4.8,4.8,17,22,30364,40
1322,2017,Nissan,Maxima 3.5 S,19989,4.8,4.6,21,30,33976,15
1323,2017,Chevrolet,Trax LS,17488,4.5,4.8,25,33,47004,32
1324,2020,Kia,Telluride SX,46995,4.8,4.5,20,26,39946,15
1325,2020,Chrysler,300 S,31500,4.8,4.4,18,27,32624,20
1326,2020,Hyundai,Santa Fe Limited 2.0T,34744,4.8,3.9,20,27,68603,19
1327,2020,Mercedes-Benz,GLB 250 Base,37220,4.1,4.7,23,30,10062,22
1328,2018,Ford,Mustang EcoBoost Premium,21000,4.8,4.8,20,28,46946,23
1329,2005,Chrysler,Crossfire SRT-6,24900,4.6,4.7,17,24,10732,38
1330,2019,Ford,F-150 XLT,41922,4.8,4.7,18,23,71106,40
1331,2021,Mercedes-Benz,GLA 250 Base,43850,4.9,4.7,25,34,65629,40
1332,2010,Porsche,Boxster,28950,4.6,4.4,19,27,47467,18
1333,2014,FIAT,500L Easy,9900,4.3,4.4,25,33,51430,23
1334,2015,Honda,Civic LX,15995,4.7,4.2,30,39,30421,27
1335,2017,Honda,Civic LX,19981,4.8,4.8,31,40,19572,37
1336,2020,Lexus,GX 460 Base,49000,4.9,4.8,15,19,38729,22
1337,2019,BMW,X3 M40i,47500,4.7,4.8,20,27,31676,29
1338,2019,Porsche,Macan S,63367,4.9,4.9,18,23,31750,33
1339,2019,Mercedes-Benz,CLA 250 Base,29991,4.1,4.6,24,37,25943,24
1340,2019,BMW,X5 xDrive40i,58591,4.7,4.8,20,26,49312,38
1341,2019,Mercedes-Benz,CLA 250 Base,31497,4.1,4.7,24,37,35662,28
